Mod:Item:MetaData, Localized Name
BiblioWoodsEBXL:BiblioWoodMapFrame:3, Cypress Map Frame
BiblioWoodsEBXL:BiblioWoodMapFrame:4, Fir Map Frame
BiblioWoodsEBXL:BiblioWoodMapFrame:5, Japanese Maple Map Frame
BiblioWoodsEBXL:BiblioWoodMapFrame:6, Rainbow Eucalyptus Map Frame
BiblioWoodsEBXL:BiblioWoodMapFrame:7, Redwood Map Frame
BiblioWoodsEBXL:BiblioWoodMapFrame:8, Sakura Map Frame
BiblioWoodsEBXL:BiblioWoodFancySign:0, Acacia Fancy Sign
BiblioWoodsEBXL:BiblioWoodFancySign:1, Autumn Fancy Sign
BiblioWoodsEBXL:BiblioWoodFancySign:2, Bald Cypress Fancy Sign
BiblioWoodsEBXL:BiblioWoodFancySign:3, Cypress Fancy Sign
BiblioWoodsEBXL:BiblioWoodFancySign:4, Fir Fancy Sign
BiblioWoodsEBXL:BiblioWoodFancySign:5, Japanese Maple Fancy Sign
BiblioWoodsEBXL:BiblioWoodFancySign:6, Rainbow Eucalyptus Fancy Sign
BiblioWoodsEBXL:BiblioWoodFancySign:7, Redwood Fancy Sign
BiblioWoodsEBXL:BiblioWoodFancySign:8, Sakura Fancy Sign
BiblioWoodsEBXL:BiblioWoodFancyWorkbench:0, Acacia Fancy Workbench
BiblioWoodsEBXL:BiblioWoodFancyWorkbench:1, Autumn Fancy Workbench
BiblioWoodsEBXL:BiblioWoodFancyWorkbench:2, Bald Cypress Fancy Workbench
BiblioWoodsEBXL:BiblioWoodFancyWorkbench:3, Cypress Fancy Workbench
BiblioWoodsEBXL:BiblioWoodFancyWorkbench:4, Fir Fancy Workbench
BiblioWoodsEBXL:BiblioWoodFancyWorkbench:5, Japanese Maple Fancy Workbench
BiblioWoodsEBXL:BiblioWoodFancyWorkbench:6, Rainbow Eucalyptus Fancy Workbench
BiblioWoodsEBXL:BiblioWoodFancyWorkbench:7, Redwood Fancy Workbench
BiblioWoodsEBXL:BiblioWoodFancyWorkbench:8, Sakura Fancy Workbench
BiblioWoodsEBXL:BiblioWoodClock:0, Acacia Clock
BiblioWoodsEBXL:BiblioWoodClock:1, Autumn Clock
BiblioWoodsEBXL:BiblioWoodClock:2, Bald Cypress Clock
BiblioWoodsEBXL:BiblioWoodClock:3, Cypress Clock
BiblioWoodsEBXL:BiblioWoodClock:4, Fir Clock
BiblioWoodsEBXL:BiblioWoodClock:5, Japanese Maple Clock
BiblioWoodsEBXL:BiblioWoodClock:6, Rainbow Eucalyptus Clock
BiblioWoodsEBXL:BiblioWoodClock:7, Redwood Clock
BiblioWoodsEBXL:BiblioWoodClock:8, Sakura Clock
BiblioWoodsEBXL:BiblioWoodPaintingT0:0, Acacia Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT0:1, Autumn Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT0:2, Bald Cypress Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT0:3, Cypress Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT0:4, Fir Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT0:5, Japanese Maple Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT0:6, Rainbow Eucalyptus Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT0:7, Redwood Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT0:8, Sakura Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT1:0, Acacia Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT1:1, Autumn Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT1:2, Bald Cypress Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT1:3, Cypress Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT1:4, Fir Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT1:5, Japanese Maple Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT1:6, Rainbow Eucalyptus Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT1:7, Redwood Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT1:8, Sakura Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT2:0, Acacia Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT2:1, Autumn Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT2:2, Bald Cypress Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT2:3, Cypress Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT2:4, Fir Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT2:5, Japanese Maple Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT2:6, Rainbow Eucalyptus Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT2:7, Redwood Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT2:8, Sakura Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT3:0, Acacia Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT3:1, Autumn Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT3:2, Bald Cypress Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT3:3, Cypress Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT3:4, Fir Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT3:5, Japanese Maple Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT3:6, Rainbow Eucalyptus Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT3:7, Redwood Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT3:8, Sakura Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT4:0, Acacia Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT4:1, Autumn Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT4:2, Bald Cypress Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT4:3, Cypress Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT4:4, Fir Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT4:5, Japanese Maple Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT4:6, Rainbow Eucalyptus Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT4:7, Redwood Painting Frame
BiblioWoodsEBXL:BiblioWoodPaintingT4:8, Sakura Painting Frame
HardcoreEnderExpansion:enhanced_tnt, TNT
HardcoreEnderExpansion:end_powder_ore, End Powder Ore
HardcoreEnderExpansion:void_chest, Void Chest
HardcoreEnderExpansion:end_stone_terrain:0, Infested End Stone
HardcoreEnderExpansion:end_stone_terrain:1, Burned End Stone
HardcoreEnderExpansion:end_stone_terrain:2, Enchanted End Stone
HardcoreEnderExpansion:laboratory_stairs, Laboratory Stairs
HardcoreEnderExpansion:death_flower_pot, tile.flowerPot.name
HardcoreEnderExpansion:obsidian_stairs, Obsidian Stairs
HardcoreEnderExpansion:stardust_ore, Stardust Ore
HardcoreEnderExpansion:death_flower:0, Death Flower
HardcoreEnderExpansion:death_flower:15, Death Flower
HardcoreEnderExpansion:decomposition_table, Decomposition Table
HardcoreEnderExpansion:laboratory_obsidian, Laboratory Obsidian
HardcoreEnderExpansion:corrupted_energy_high, tile.null.name
HardcoreEnderExpansion:ravaged_brick_glow, Glowing Ravaged Brick
HardcoreEnderExpansion:dungeon_puzzle:13, Dungeon Puzzle (Wall)
HardcoreEnderExpansion:dungeon_puzzle:14, Dungeon Puzzle (Rock)
HardcoreEnderExpansion:dungeon_puzzle:15, Dungeon Puzzle (Ceiling)
HardcoreEnderExpansion:dungeon_puzzle:12, Dungeon Puzzle (Disabled)
HardcoreEnderExpansion:dungeon_puzzle:0, Dungeon Puzzle (Triggerable - Unlit)
HardcoreEnderExpansion:dungeon_puzzle:1, Dungeon Puzzle (Triggerable - Lit)
HardcoreEnderExpansion:dungeon_puzzle:2, Dungeon Puzzle (Non-triggerable - Unlit)
HardcoreEnderExpansion:dungeon_puzzle:3, Dungeon Puzzle (Non-triggerable - Lit)
HardcoreEnderExpansion:dungeon_puzzle:4, Dungeon Puzzle (Distributor - Spread - Unlit)
HardcoreEnderExpansion:dungeon_puzzle:5, Dungeon Puzzle (Distributor - Spread - Lit)
HardcoreEnderExpansion:dungeon_puzzle:6, Dungeon Puzzle (Distributor - Square - Unlit)
HardcoreEnderExpansion:dungeon_puzzle:7, Dungeon Puzzle (Distributor - Square - Lit)
HardcoreEnderExpansion:laboratory_floor, Laboratory Floor
HardcoreEnderExpansion:custom_spawner, Monster Spawner
HardcoreEnderExpansion:cinder, Cinder
HardcoreEnderExpansion:spooky_leaves, Spooky Leaves
HardcoreEnderExpansion:igneous_rock_ore, Igneous Rock Ore
HardcoreEnderExpansion:enderman_head_block, Enderman Head
HardcoreEnderExpansion:obsidian_end, Falling Obsidian
HardcoreEnderExpansion:endium_ore, Endium Ore
HardcoreEnderExpansion:crossed_decoration:2, Thorny Bush
HardcoreEnderExpansion:crossed_decoration:3, Infested Bush
HardcoreEnderExpansion:crossed_decoration:4, Infested Fern
HardcoreEnderExpansion:crossed_decoration:5, Infested Grass
HardcoreEnderExpansion:crossed_decoration:6, Lilyfire
HardcoreEnderExpansion:crossed_decoration:7, Tall Violet Moss
HardcoreEnderExpansion:crossed_decoration:8, Moderate Violet Moss
HardcoreEnderExpansion:crossed_decoration:9, Short Violet Moss
HardcoreEnderExpansion:crossed_decoration:10, Flameweed
HardcoreEnderExpansion:crossed_decoration:11, Flameweed
HardcoreEnderExpansion:crossed_decoration:12, Flameweed
HardcoreEnderExpansion:crossed_decoration:13, Shadow Orchid
HardcoreEnderExpansion:obsidian_special:0, Smooth Obsidian
HardcoreEnderExpansion:obsidian_special:1, Chiseled Obsidian
HardcoreEnderExpansion:obsidian_special:2, Obsidian Pillar
HardcoreEnderExpansion:block_special_effects:1, specialEffects.1.name
HardcoreEnderExpansion:block_special_effects:2, specialEffects.2.name
HardcoreEnderExpansion:block_special_effects:3, specialEffects.3.name
HardcoreEnderExpansion:block_special_effects:4, specialEffects.4.name
HardcoreEnderExpansion:block_special_effects:5, specialEffects.5.name
HardcoreEnderExpansion:experience_table, Experience Table
HardcoreEnderExpansion:ravaged_brick:0, Ravaged Brick
HardcoreEnderExpansion:ravaged_brick:1, Ravaged Brick
HardcoreEnderExpansion:ravaged_brick:2, Ravaged Brick
HardcoreEnderExpansion:ravaged_brick:3, Ravaged Brick
HardcoreEnderExpansion:ravaged_brick:4, Ravaged Brick
HardcoreEnderExpansion:ravaged_brick:5, Ravaged Brick
HardcoreEnderExpansion:sphalerite:0, Sphalerite
HardcoreEnderExpansion:sphalerite:1, Sphalerite with Stardust
HardcoreEnderExpansion:ravaged_brick_fence, Ravaged Brick Fence
HardcoreEnderExpansion:biome_core, tile.biomeIslandCore.name
HardcoreEnderExpansion:essence_altar:0, Basic Essence Altar
HardcoreEnderExpansion:essence_altar:1, Dragon Essence Altar
HardcoreEnderExpansion:essence_altar:2, Fiery Essence Altar
HardcoreEnderExpansion:essence_altar:3, Spectral Essence Altar
HardcoreEnderExpansion:obsidian_special_glow:0, Smooth Glowing Obsidian
HardcoreEnderExpansion:obsidian_special_glow:1, Chiseled Glowing Obsidian
HardcoreEnderExpansion:obsidian_special_glow:2, Glowing Obsidian Pillar
HardcoreEnderExpansion:ravaged_brick_slab:0, Ravaged Brick Slab
HardcoreEnderExpansion:persegrit:0, Persegrit
HardcoreEnderExpansion:persegrit:1, Persegrit
HardcoreEnderExpansion:persegrit:2, Persegrit
HardcoreEnderExpansion:persegrit:3, Persegrit
HardcoreEnderExpansion:persegrit:4, Persegrit
HardcoreEnderExpansion:persegrit:5, Persegrit
HardcoreEnderExpansion:persegrit:6, Persegrit
HardcoreEnderExpansion:persegrit:7, Persegrit
HardcoreEnderExpansion:persegrit:8, Persegrit
HardcoreEnderExpansion:persegrit:9, Persegrit
HardcoreEnderExpansion:persegrit:10, Persegrit
HardcoreEnderExpansion:persegrit:11, Persegrit
HardcoreEnderExpansion:persegrit:12, Persegrit
HardcoreEnderExpansion:persegrit:13, Persegrit
HardcoreEnderExpansion:persegrit:14, Persegrit
HardcoreEnderExpansion:persegrit:15, Persegrit
HardcoreEnderExpansion:endium_block, Endium Block
HardcoreEnderExpansion:corrupted_energy_low, tile.null.name
HardcoreEnderExpansion:transport_beacon, Transport Beacon
HardcoreEnderExpansion:energy_extraction_table, Extraction Table
HardcoreEnderExpansion:laboratory_glass, Laboratory Glass
HardcoreEnderExpansion:spooky_log, Spooky Log
HardcoreEnderExpansion:energy_cluster, Energy Cluster
HardcoreEnderExpansion:enhanced_brewing_stand_block, tile.brewingStand.name
HardcoreEnderExpansion:ender_goo, Ender Goo
HardcoreEnderExpansion:temple_end_portal, tile.templeEndPortal.name
HardcoreEnderExpansion:ravaged_brick_smooth, Smooth Ravaged Brick
HardcoreEnderExpansion:ravaged_brick_stairs, Ravaged Brick Stairs
HardcoreEnderExpansion:accumulation_table, Accumulation Table
HardcoreEnderExpansion:laser_beam, tile.laserBeam.name
HardcoreEnderExpansion:instability_orb_ore, Instability Orb Ore
Natura:N Crops, Crops
Natura:BerryBush:12, Raspberry Bush
Natura:BerryBush:13, Blueberry Bush
Natura:BerryBush:14, Blackberry Bush
Natura:BerryBush:15, Maloberry Bush
Natura:NetherBerryBush:12, Blightberry Bush
Natura:NetherBerryBush:13, Duskberry Bush
Natura:NetherBerryBush:14, Skyberry Bush
Natura:NetherBerryBush:15, Stingberry Bush
Natura:Cloud:0, Cloud
Natura:Cloud:1, Dark Cloud
Natura:Cloud:2, Ash Cloud
Natura:Cloud:3, Sulfur Cloud
Natura:tree:0, Eucalyptus Wood
Natura:tree:1, Sakura Wood
Natura:tree:2, Ghostwood
Natura:tree:3, Hopseed Wood
Natura:redwood:0, Redwood Bark
Natura:redwood:1, Redwood
Natura:redwood:2, Redwood Root
Natura:planks:0, Eucalyptus Planks
Natura:planks:1, Sakura Planks
Natura:planks:2, Ghostwood Planks
Natura:planks:3, Redwood Planks
Natura:planks:4, Bloodwood Planks
Natura:planks:5, Hopseed Planks
Natura:planks:6, Maple Planks
Natura:planks:7, Silverbell Planks
Natura:planks:8, Amaranth Planks
Natura:planks:9, Tigerwood Planks
Natura:planks:10, Willow Planks
Natura:planks:11, Darkwood Planks
Natura:planks:12, Fusewood Planks
Natura:floraleaves:0, Redwood Leaves
Natura:floraleaves:1, Eucalyptus Leaves
Natura:floraleaves:2, Hopseed Leaves
Natura:floraleavesnocolor:0, Sakura Leaves
Natura:floraleavesnocolor:1, Ghostwood Leaves
Natura:floraleavesnocolor:2, Bloodleaves
Natura:floraleavesnocolor:3, Willow Leaves
Natura:florasapling:0, Redwood Sapling
Natura:florasapling:1, Eucalyptus Sapling
Natura:florasapling:2, Hopseed Sapling
Natura:florasapling:3, Sakura Sapling
Natura:florasapling:4, Ghostwood Sapling
Natura:florasapling:5, Blood Sapling
Natura:florasapling:6, Darkwood Sapling
Natura:florasapling:7, Fusewood Sapling
Natura:Saguaro:0, Saguaro Cactus
Natura:willow:0, Willow Wood
Natura:door.redwood, Redwood Door
Natura:door.eucalyptus, Eucalyptus Door
Natura:door.hopseed, Hopseed Door
Natura:door.sakura, Sakura Door
Natura:door.ghostwood, Ghostwood Door
Natura:door.bloodwood, Bloodwood Door
Natura:door.redwoodbark, Redwood Bark Door
Natura:bloodwood:0, Bloodwood
Natura:bloodwood:15, Bloodwood
Natura:soil.tainted, Tainted Soil
Natura:heatsand, Heat Sand
Natura:Dark Tree:0, Darkwood
Natura:Dark Tree:1, Fusewood
Natura:Dark Leaves:0, Darkwood Leaves
Natura:Dark Leaves:1, Darkwood Leaves
Natura:Dark Leaves:2, Darkwood Leaves
Natura:Dark Leaves:3, Fusewood Leaves
Natura:Thornvines, Thornvines
Natura:Glowshroom:0, Green Glowshroom
Natura:Glowshroom:1, Purple Glowshroom
Natura:Glowshroom:2, Blue Glowshroom
Natura:blueGlowshroom, Blue Glowshroom
Natura:purpleGlowshroom, Purple Glowshroom
Natura:greenGlowshroom, Green Glowshroom
Natura:Blazerail, Blaze Rail
Natura:BrailPowered, Powered Blaze Rail
Natura:BrailDetector, Detector Blaze Rail
Natura:BrailActivator, Activator Blaze Rail
Natura:NetherFurnace, Nether Furnace
Natura:Obelisk, Obelisk
Natura:NetherGlass:0, Soul Glass
Natura:NetherGlass:1, Heat Glass
Natura:NetherHopper, Hopper
Natura:NetherPressurePlate, Pressure Plate
Natura:NetherButton, Button
Natura:NetherLever, Lever
Natura:Rare Tree:0, Maple Wood
Natura:Rare Tree:1, Silverbell Wood
Natura:Rare Tree:2, Amaranth Wood
Natura:Rare Tree:3, Tiger Wood
Natura:Rare Leaves:0, Maple Leaves
Natura:Rare Leaves:1, Silverbell Leaves
Natura:Rare Leaves:2, Amaranth Leaves
Natura:Rare Leaves:3, Tiger Leaves
Natura:Rare Sapling:0, Maple Sapling
Natura:Rare Sapling:1, Silverbell Sapling
Natura:Rare Sapling:2, Amaranth Sapling
Natura:Rare Sapling:3, Tigerwood Sapling
Natura:Rare Sapling:4, Willow Sapling
Natura:Bluebells, Bluebells
Natura:Natura.workbench:0, Crafting Table
Natura:Natura.workbench:1, Crafting Table
Natura:Natura.workbench:2, Crafting Table
Natura:Natura.workbench:3, Crafting Table
Natura:Natura.workbench:4, Crafting Table
Natura:Natura.workbench:5, Crafting Table
Natura:Natura.workbench:6, Crafting Table
Natura:Natura.workbench:7, Crafting Table
Natura:Natura.workbench:8, Crafting Table
Natura:Natura.workbench:9, Crafting Table
Natura:Natura.workbench:10, Crafting Table
Natura:Natura.workbench:11, Crafting Table
Natura:Natura.workbench:12, Crafting Table
Natura:Natura.bookshelf:0, Bookshelf
Natura:Natura.bookshelf:1, Bookshelf
Natura:Natura.bookshelf:2, Bookshelf
Natura:Natura.bookshelf:3, Bookshelf
Natura:Natura.bookshelf:4, Bookshelf
Natura:Natura.bookshelf:5, Bookshelf
Natura:Natura.bookshelf:6, Bookshelf
Natura:Natura.bookshelf:7, Bookshelf
Natura:Natura.bookshelf:8, Bookshelf
Natura:Natura.bookshelf:9, Bookshelf
Natura:Natura.bookshelf:10, Bookshelf
Natura:Natura.bookshelf:11, Bookshelf
Natura:Natura.bookshelf:12, Bookshelf
Natura:Natura.fence:0, Fence
Natura:Natura.fence:1, Fence
Natura:Natura.fence:2, Fence
Natura:Natura.fence:3, Fence
Natura:Natura.fence:4, Fence
Natura:Natura.fence:5, Fence
Natura:Natura.fence:6, Fence
Natura:Natura.fence:7, Fence
Natura:Natura.fence:8, Fence
Natura:Natura.fence:9, Fence
Natura:Natura.fence:10, Fence
Natura:Natura.fence:11, Fence
Natura:Natura.fence:12, Fence
Natura:GrassBlock:0, Topiary Grass
Natura:GrassBlock:1, Bluegrass
Natura:GrassBlock:2, Autumnal Grass
Natura:GrassSlab:0, Topiary Grass Slab
Natura:GrassSlab:1, Bluegrass Slab
Natura:GrassSlab:2, Autumnal Grass Slab
Natura:plankSlab1:0, Eucalyptus Slab
Natura:plankSlab1:1, Sakura Slab
Natura:plankSlab1:2, Ghostwood Slab
Natura:plankSlab1:3, Redwood Slab
Natura:plankSlab1:4, Blood Slab
Natura:plankSlab1:5, Hopseed Slab
Natura:plankSlab1:6, Maple Slab
Natura:plankSlab1:7, Silverbell Slab
Natura:plankSlab2:0, Amaranth Slab
Natura:plankSlab2:1, Tigerwood Slab
Natura:plankSlab2:2, Willow Slab
Natura:plankSlab2:3, Darkwood Slab
Natura:plankSlab2:4, Fusewood Slab
Natura:stair.eucalyptus, Eucalyptus Stairs
Natura:stair.sakura, Sakura Stairs
Natura:stair.ghostwood, Ghostwood Stairs
Natura:stair.redwood, Redwood Stairs
Natura:stair.bloodwood, Blood Stairs
Natura:stair.hopseed, Hopseed Stairs
Natura:stair.maple, Maple Stairs
Natura:stair.silverbell, Silverbell Stairs
Natura:stair.amaranth, Amaranth Stairs
Natura:stair.tiger, Tigerwood Stairs
Natura:stair.willow, Willow Stairs
Natura:stair.darkwood, Darkwood Stairs
Natura:stair.fusewood, Fusewood Stairs
Natura:pressureplate.eucalyptus, Eucalyptus Pressure Plate
Natura:trapdoor.eucalyptus, Eucalyptus Trapdoor
Natura:button.eucalyptus, Eucalyptus Button
Natura:fenceGate.eucalyptus, Eucalyptus Fence Gate
Natura:pressureplate.sakura, Sakura Pressure Plate
Natura:trapdoor.sakura, Sakura Trapdoor
Natura:button.sakura, Sakura Button
Natura:fenceGate.sakura, Sakura Fence Gate
Natura:pressureplate.ghostwood, Ghostwood Pressure Plate
Natura:trapdoor.ghostwood, Ghostwood Trapdoor
Natura:button.ghostwood, Ghostwood Button
Natura:fenceGate.ghostwood, Ghostwood Fence Gate
Natura:pressureplate.redwood, Redwood Pressure Plate
Natura:trapdoor.redwood, Redwood Trapdoor
Natura:button.redwood, Redwood Button
Natura:fenceGate.redwood, Redwood Fence Gate
Natura:pressureplate.bloodwood, Blood Pressure Plate
Natura:trapdoor.bloodwood, Blood Trapdoor
Natura:button.bloodwood, Blood Button
Natura:fenceGate.bloodwood, Blood Fence Gate
Natura:pressureplate.hopseed, Hopseed Pressure Plate
Natura:trapdoor.hopseed, Hopseed Trapdoor
Natura:button.hopseed, Hopseed Button
Natura:fenceGate.hopseed, Hopseed Fence Gate
Natura:pressureplate.maple, Maple Pressure Plate
Natura:trapdoor.maple, Maple Trapdoor
Natura:button.maple, Maple Button
Natura:fenceGate.maple, Maple Fence Gate
Natura:pressureplate.amaranth, Amaranth Pressure Plate
Natura:trapdoor.amaranth, Amaranth Trapdoor
Natura:button.amaranth, Amaranth Button
Natura:fenceGate.amaranth, Amaranth Fence Gate
Natura:pressureplate.silverbell, Silverbell Pressure Plate
Natura:trapdoor.silverbell, Silverbell Trapdoor
Natura:button.silverbell, Silverbell Button
Natura:fenceGate.silverbell, Silverbell Fence Gate
Natura:pressureplate.tiger, Tigerwood Pressure Plate
Natura:trapdoor.tiger, Tigerwood Trapdoor
Natura:button.tiger, Tigerwood Button
Natura:fenceGate.tiger, Tigerwood Fence Gate
Natura:pressureplate.willow, Willow Pressure Plate
Natura:trapdoor.willow, Willow Trapdoor
Natura:button.willow, Willow Button
Natura:fenceGate.willow, Willow Fence Gate
Natura:pressureplate.darkwood, Darkwood Pressure Plate
Natura:trapdoor.darkwood, Darkwood Trapdoor
Natura:button.darkwood, Darkwood Button
Natura:fenceGate.darkwood, Darkwood Fence Gate
Natura:pressureplate.fusewood, Fusewood Pressure Plate
Natura:trapdoor.fusewood, Fusewood Trapdoor
Natura:button.fusewood, Fusewood Button
Natura:fenceGate.fusewood, Fusewood Fence Gate
Forestry:core:0, Analyzer
Forestry:core:1, Escritoire
Forestry:soil:0, Humus
Forestry:soil:1, Bog Earth
Forestry:resources:0, Apatite Ore
Forestry:resources:1, Copper Ore
Forestry:resources:2, Tin Ore
Forestry:resourceStorage:0, Block of Apatite
Forestry:resourceStorage:1, Block of Copper
Forestry:resourceStorage:2, Block of Tin
Forestry:resourceStorage:3, Block of Bronze
Forestry:fluid.bioethanol, Ethanol
Forestry:fluid.biomass, Biomass
Forestry:fluid.glass, Liquid Glass
Forestry:fluid.honey, Honey
Forestry:fluid.ice, Crushed Ice
Forestry:fluid.juice, Fruit Juice
Forestry:fluid.milk, Milk
Forestry:fluid.seedoil, Seed Oil
Forestry:fluid.short.mead, Short Mead
Forestry:fluid.mead, Mead
Forestry:apiculture:0, Apiary
Forestry:apiculture:2, Bee House
Forestry:apicultureChest:0, Apiarist's Chest
Forestry:beehives:1, Forest Hive
Forestry:beehives:2, Meadows Hive
Forestry:beehives:3, Modest Hive
Forestry:beehives:4, Tropical Hive
Forestry:beehives:6, Wintry Hive
Forestry:beehives:7, Marshy Hive
Forestry:candle:0, Unlit Candle
Forestry:stump:0, Candle Stump
Forestry:alveary:0, Alveary
Forestry:alveary:2, Swarmer
Forestry:alveary:3, Alveary Fan
Forestry:alveary:4, Alveary Heater
Forestry:alveary:5, Alveary Hygroregulator
Forestry:alveary:6, Alveary Stabiliser
Forestry:alveary:7, Alveary Sieve
Forestry:logs:0, Larch Wood
Forestry:logs:1, Teak Wood
Forestry:logs:2, Desert Acacia Wood
Forestry:logs:3, Lime Wood
Forestry:logs:4, Chestnut Wood
Forestry:logs:5, Wenge Wood
Forestry:logs:6, Baobab Wood
Forestry:logs:7, Sequoia Wood
Forestry:logs:8, Kapok Wood
Forestry:logs:9, Ebony Wood
Forestry:logs:10, Mahogany Wood
Forestry:logs:11, Balsa Wood
Forestry:logs:12, Willow Wood
Forestry:logs:13, Walnut Wood
Forestry:logs:14, Greenheart Wood
Forestry:logs:15, Cherry Wood
Forestry:logs:16, Mahoe Wood
Forestry:logs:17, Poplar Wood
Forestry:logs:18, Palm Wood
Forestry:logs:19, Papaya Wood
Forestry:logs:20, Pine Wood
Forestry:logs:21, Plum Wood
Forestry:logs:22, Maple Wood
Forestry:logs:23, Citrus Wood
Forestry:logs:24, Giant Sequoia Wood
Forestry:logs:25, Ipe Wood
Forestry:logs:26, Padauk Wood
Forestry:logs:27, Cocobolo Wood
Forestry:logs:28, Zebrawood Wood
Forestry:planks:0, Larch Wood Planks
Forestry:planks:1, Teak Wood Planks
Forestry:planks:2, Desert Acacia Wood Planks
Forestry:planks:3, Lime Wood Planks
Forestry:planks:4, Chestnut Wood Planks
Forestry:planks:5, Wenge Wood Planks
Forestry:planks:6, Baobab Wood Planks
Forestry:planks:7, Sequoia Wood Planks
Forestry:planks:8, Kapok Wood Planks
Forestry:planks:9, Ebony Wood Planks
Forestry:planks:10, Mahogany Wood Planks
Forestry:planks:11, Balsa Wood Planks
Forestry:planks:12, Willow Wood Planks
Forestry:planks:13, Walnut Wood Planks
Forestry:planks:14, Greenheart Wood Planks
Forestry:planks:15, Cherry Wood Planks
Forestry:planks:16, Mahoe Wood Planks
Forestry:planks:17, Poplar Wood Planks
Forestry:planks:18, Palm Wood Planks
Forestry:planks:19, Papaya Wood Planks
Forestry:planks:20, Pine Wood Planks
Forestry:planks:21, Plum Wood Planks
Forestry:planks:22, Maple Wood Planks
Forestry:planks:23, Citrus Wood Planks
Forestry:planks:24, Giant Sequoia Wood Planks
Forestry:planks:25, Ipe Wood Planks
Forestry:planks:26, Padauk Wood Planks
Forestry:planks:27, Cocobolo Wood Planks
Forestry:planks:28, Zebrawood Wood Planks
Forestry:slabs:0, Larch Wood Slab
Forestry:slabs:1, Teak Wood Slab
Forestry:slabs:2, Desert Acacia Wood Slab
Forestry:slabs:3, Lime Wood Slab
Forestry:slabs:4, Chestnut Wood Slab
Forestry:slabs:5, Wenge Wood Slab
Forestry:slabs:6, Baobab Wood Slab
Forestry:slabs:7, Sequoia Wood Slab
Forestry:slabs:8, Kapok Wood Slab
Forestry:slabs:9, Ebony Wood Slab
Forestry:slabs:10, Mahogany Wood Slab
Forestry:slabs:11, Balsa Wood Slab
Forestry:slabs:12, Willow Wood Slab
Forestry:slabs:13, Walnut Wood Slab
Forestry:slabs:14, Greenheart Wood Slab
Forestry:slabs:15, Cherry Wood Slab
Forestry:slabs:16, Mahoe Wood Slab
Forestry:slabs:17, Poplar Wood Slab
Forestry:slabs:18, Palm Wood Slab
Forestry:slabs:19, Papaya Wood Slab
Forestry:slabs:20, Pine Wood Slab
Forestry:slabs:21, Plum Wood Slab
Forestry:slabs:22, Maple Wood Slab
Forestry:slabs:23, Citrus Wood Slab
Forestry:slabs:24, Giant Sequoia Wood Slab
Forestry:slabs:25, Ipe Wood Slab
Forestry:slabs:26, Padauk Wood Slab
Forestry:slabs:27, Cocobolo Wood Slab
Forestry:slabs:28, Zebrawood Wood Slab
Forestry:fences:0, Larch Fence
Forestry:fences:1, Teak Fence
Forestry:fences:2, Desert Acacia Fence
